onset	duration	trial_type	image_type	Press	ReactionTime	ReactionTime_Interpolated	CorrectOmission	CorrectCommission	CommissionError	OmissionError	response_type	nonsmoothVarianceTimeCourse	VarianceTimeCourse	In_the_Zone
254.324692	0.795546	city	3	1	0.958697	0.958697	0	1	0	0	CorrectCommission	1.446460	1.364687	0
255.120361	0.795798	city	1	1	0.897288	0.897288	0	1	0	0	CorrectCommission	1.180905	1.310958	0
255.916168	0.795813	city	8	1	0.798521	0.798521	0	1	0	0	CorrectCommission	0.753801	1.259291	0
256.711945	0.795755	city	3	1	0.664339	0.664339	0	1	0	0	CorrectCommission	0.173551	1.212294	0
257.507721	0.795794	city	5	1	0.567642	0.567642	0	1	0	0	CorrectCommission	0.244602	1.171510	0
258.303497	0.795788	city	3	1	0.449716	0.449716	0	1	0	0	CorrectCommission	0.754558	1.137289	0
259.099457	0.796119	city	6	1	0.996857	0.996857	0	1	0	0	CorrectCommission	1.611480	1.108894	0
259.895264	0.795460	city	9	1	0.915594	0.915594	0	1	0	0	CorrectCommission	1.260066	1.084690	0
260.690887	0.795824	city	5	1	0.956358	0.956358	0	1	0	0	CorrectCommission	1.436348	1.062523	0
261.486694	0.795768	city	6	1	1.047387	1.047387	0	1	0	0	CorrectCommission	1.829990	1.040011	0
262.282501	0.795846	mountain	2	0	0.000000	0.753568	1	0	0	0	CorrectOmission	0.559410	1.014921	0
263.078308	0.795801	city	1	1	0.410751	0.410751	0	1	0	0	CorrectCommission	0.923054	0.985525	0
263.874268	0.796099	city	9	1	0.354787	0.354787	0	1	0	0	CorrectCommission	1.165067	0.950685	0
264.670105	0.795540	city	10	1	0.351103	0.351103	0	1	0	0	CorrectCommission	1.180994	0.910085	0
265.465729	0.795744	city	4	1	0.409386	0.409386	0	1	0	0	CorrectCommission	0.928960	0.864211	0
266.261536	0.795852	city	2	1	0.400361	0.400361	0	1	0	0	CorrectCommission	0.967988	0.814304	0
267.057343	0.795798	mountain	4	1	0.308199	0.308199	0	0	1	0	CommissionError	1.366527	0.762193	1
267.853149	0.795793	city	8	1	0.467092	0.467092	0	1	0	0	CorrectCommission	0.679416	0.710076	1
268.648956	0.795818	mountain	7	0	0.000000	0.649580	1	0	0	0	CorrectOmission	0.109728	0.660314	1
269.444763	0.795783	city	9	1	0.748909	0.748909	0	1	0	0	CorrectCommission	0.539264	0.615128	1
270.240692	0.796112	city	6	1	0.658326	0.658326	0	1	0	0	CorrectCommission	0.147547	0.576348	1
271.036499	0.795492	city	5	1	0.598811	0.598811	0	1	0	0	CorrectCommission	0.109816	0.545279	1
271.832153	0.795818	city	4	1	0.553957	0.553957	0	1	0	0	CorrectCommission	0.303779	0.522566	1
272.627960	0.795796	city	1	1	0.549166	0.549166	0	1	0	0	CorrectCommission	0.324498	0.508149	1
273.423737	0.795729	city	3	1	0.556089	0.556089	0	1	0	0	CorrectCommission	0.294561	0.501339	1
274.219513	0.795832	city	1	1	0.549502	0.549502	0	1	0	0	CorrectCommission	0.323047	0.500942	1
275.015503	0.796120	city	8	1	0.500084	0.500084	0	1	0	0	CorrectCommission	0.536748	0.505394	1
275.811340	0.795561	city	10	1	0.449396	0.449396	0	1	0	0	CorrectCommission	0.755940	0.512939	1
276.606995	0.795757	city	3	1	0.450505	0.450505	0	1	0	0	CorrectCommission	0.751147	0.521780	1
277.402771	0.795839	mountain	9	1	0.401121	0.401121	0	0	1	0	CommissionError	0.964698	0.530270	1
278.198730	0.796034	city	5	1	0.499251	0.499251	0	1	0	0	CorrectCommission	0.540350	0.536965	1
278.994476	0.795477	city	9	1	0.549074	0.549074	0	1	0	0	CorrectCommission	0.324895	0.540687	1
279.790161	0.795892	city	8	1	0.507443	0.507443	0	1	0	0	CorrectCommission	0.504923	0.540575	1
280.585999	0.795806	city	5	1	0.551823	0.551823	0	1	0	0	CorrectCommission	0.313011	0.536026	1
281.381805	0.795777	city	2	1	0.499444	0.499444	0	1	0	0	CorrectCommission	0.539514	0.526735	1
282.177551	0.795741	city	5	1	0.449711	0.449711	0	1	0	0	CorrectCommission	0.754580	0.512643	1
282.973358	0.795836	city	9	1	0.400198	0.400198	0	1	0	0	CorrectCommission	0.968689	0.493999	1
283.769135	0.795749	city	4	1	0.451011	0.451011	0	1	0	0	CorrectCommission	0.748959	0.471358	1
284.564972	0.795908	city	9	1	0.549534	0.549534	0	1	0	0	CorrectCommission	0.322906	0.445590	1
285.360962	0.796067	city	2	1	0.549005	0.549005	0	1	0	0	CorrectCommission	0.325196	0.417893	1
286.156738	0.795513	city	9	1	0.511540	0.511540	0	1	0	0	CorrectCommission	0.487209	0.389739	1
286.952393	0.795750	mountain	6	1	0.499691	0.499691	0	0	1	0	CommissionError	0.538449	0.362823	1
287.748169	0.795834	city	10	1	0.599189	0.599189	0	1	0	0	CorrectCommission	0.108183	0.338975	1
288.544006	0.795830	city	3	1	0.599117	0.599117	0	1	0	0	CorrectCommission	0.108492	0.320078	1
289.339783	0.795731	city	10	1	0.599663	0.599663	0	1	0	0	CorrectCommission	0.106131	0.307872	1
290.135590	0.795868	city	3	1	0.598837	0.598837	0	1	0	0	CorrectCommission	0.109705	0.303857	1
290.931396	0.795738	city	9	1	0.648814	0.648814	0	1	0	0	CorrectCommission	0.106416	0.309166	1
291.727203	0.795876	city	5	1	0.613652	0.613652	0	1	0	0	CorrectCommission	0.045637	0.324473	1
292.523163	0.796050	city	6	1	0.698735	0.698735	0	1	0	0	CorrectCommission	0.322291	0.349915	1
293.318909	0.795457	city	2	1	0.652118	0.652118	0	1	0	0	CorrectCommission	0.120704	0.385093	1
294.114716	0.796156	city	7	1	0.608321	0.608321	0	1	0	0	CorrectCommission	0.068692	0.429117	1
294.910553	0.795502	city	3	1	0.566151	0.566151	0	1	0	0	CorrectCommission	0.251050	0.480672	1
295.706177	0.795752	city	1	1	0.549081	0.549081	0	1	0	0	CorrectCommission	0.324867	0.538167	1
296.501953	0.795811	city	10	1	0.403578	0.403578	0	1	0	0	CorrectCommission	0.954073	0.599878	1
297.297791	0.795875	city	4	1	0.513893	0.513893	0	1	0	0	CorrectCommission	0.477032	0.664080	1
298.093597	0.795749	city	7	1	0.400230	0.400230	0	1	0	0	CorrectCommission	0.968552	0.729278	1
298.889404	0.795812	city	10	1	0.350168	0.350168	0	1	0	0	CorrectCommission	1.185038	0.794219	1
299.685211	0.795837	city	4	1	0.350450	0.350450	0	1	0	0	CorrectCommission	1.183819	0.857998	0
300.481018	0.795778	city	1	1	0.403162	0.403162	0	1	0	0	CorrectCommission	0.955873	0.920026	0
301.276825	0.795824	city	9	1	0.511787	0.511787	0	1	0	0	CorrectCommission	0.486138	0.979960	0
302.072632	0.795771	city	6	1	0.362185	0.362185	0	1	0	0	CorrectCommission	1.133073	1.037585	0
302.868561	0.796101	city	3	1	0.400658	0.400658	0	1	0	0	CorrectCommission	0.966700	1.092623	0
303.664368	0.795541	city	6	1	0.300161	0.300161	0	1	0	0	CorrectCommission	1.401289	1.144640	0
304.460175	0.796073	city	7	1	0.359579	0.359579	0	1	0	0	CorrectCommission	1.144341	1.192900	0
305.255981	0.795534	city	9	1	0.349814	0.349814	0	1	0	0	CorrectCommission	1.186570	1.236362	0
306.051636	0.795744	city	7	1	0.352215	0.352215	0	1	0	0	CorrectCommission	1.176187	1.273671	0
306.847412	0.795847	city	6	1	0.301275	0.301275	0	1	0	0	CorrectCommission	1.396472	1.303292	0
307.643250	0.795823	city	2	1	0.350877	0.350877	0	1	0	0	CorrectCommission	1.181973	1.323637	0
308.439026	0.795734	city	4	1	1.046389	1.046389	0	1	0	0	CorrectCommission	1.825673	1.333353	0
309.234802	0.795809	city	6	1	1.008776	1.008776	0	1	0	0	CorrectCommission	1.663022	1.331526	0
310.030609	0.795822	city	1	1	1.046970	1.046970	0	1	0	0	CorrectCommission	1.828186	1.317952	0
310.826416	0.795751	city	6	1	1.097083	1.097083	0	1	0	0	CorrectCommission	2.044891	1.293292	0
311.622223	0.795885	city	5	1	1.006011	1.006011	0	1	0	0	CorrectCommission	1.651063	1.259127	0
312.418060	0.795770	city	6	1	0.897229	0.897229	0	1	0	0	CorrectCommission	1.180651	1.217925	0
313.213867	0.795833	city	3	1	0.901099	0.901099	0	1	0	0	CorrectCommission	1.197384	1.172873	0
314.009674	0.795779	city	8	1	0.847988	0.847988	0	1	0	0	CorrectCommission	0.967715	1.127559	0
314.805420	0.795733	city	9	1	0.854681	0.854681	0	1	0	0	CorrectCommission	0.996660	1.085709	0
